Компакт-технологии для одарённых малышей. Любимые животные;1 140;Мальцева И.                                                                                         ;https://www.clever-media.ru/CleverProducts/Books/book_16356/
Познаем мир вместе. Алфавит в картинках;1 140; ;https://www.clever-media.ru/CleverProducts/Books/book_16493/
Мир вокруг. 9 развивающих книжек-кубиков;1 120; ;https://www.clever-media.ru/CleverProducts/Books/book_5502/
Батискаф. Время играть!;1 120; ;https://www.clever-media.ru/CleverProducts/Books/book_4468/
Моя первая мастерская;1 090; ;https://www.clever-media.ru/CleverProducts/Books/book_5521/
Главная книга малыша. Цвета в загадках;1 090;Шигарова Ю.                                                                                         ;https://www.clever-media.ru/CleverProducts/Books/book_16668/
Главная книга малыша. Формы в загадках;1 090;Уланова Л.;https://www.clever-media.ru/CleverProducts/Books/book_16669/
Главная книга малыша. Мир вокруг в загадках;1 090;Юрченко О.;https://www.clever-media.ru/CleverProducts/Books/book_16670/
ИГРА. Время играть. Банана!;1 090;Колупаев А.;https://www.clever-media.ru/CleverProducts/Books/book_16657/
Holiday Season Sticker Book;1 045; ;https://www.clever-media.ru/CleverProducts/Books/book_16821/
50 женщин, изменивших мир;1 020;Хэллиган К.;https://www.clever-media.ru/CleverProducts/Books/book_16763/
Учимся играя. В дороге!;1 005;Смрити П,-Х.;https://www.clever-media.ru/CleverProducts/Books/book_16363/
Викторина чемпионов. Динозавры;1 005;Педрола А.;https://www.clever-media.ru/CleverProducts/Books/book_5394/
Викторина чемпионов. Мировые памятники;1 005;Педрола А.;https://www.clever-media.ru/CleverProducts/Books/book_5395/
Учимся играя. Мир вокруг нас;1 005;Смрити П,-Х.;https://www.clever-media.ru/CleverProducts/Books/book_16362/
Викторина отличника. Вся программа 2 класса. 240 вопросов и ответов;1 005;Узорова О. В.                                                                                       ;https://www.clever-media.ru/CleverProducts/Books/book_5200/
Учимся играя. Куда пойдём сегодня?;1 005;Смрити П,-Х.;https://www.clever-media.ru/CleverProducts/Books/book_16364/
Викторина чемпионов. Первобытный человек. Время играть;1 005;Дэвид П.;https://www.clever-media.ru/CleverProducts/Books/book_5393/
Учимся играя. Поиграй со мной;1 005;Смрити П,-Х.;https://www.clever-media.ru/CleverProducts/Books/book_16365/
ИГРА. Сокровища майя;1 005;Верещагин М.;https://www.clever-media.ru/CleverProducts/Books/book_16237/
Время играть. Викторина чемпионов. Москва;1 005; ;https://www.clever-media.ru/CleverProducts/Books/book_16648/
Время играть. Викторина чемпионов. Санкт-Петербург;1 005; ;https://www.clever-media.ru/CleverProducts/Books/book_16649/
Познаем мир вместе. Я учу цифры;990; ;https://www.clever-media.ru/CleverProducts/Books/book_16213/
Познаем мир вместе. Я учу английский алфавит;990; ;https://www.clever-media.ru/CleverProducts/Books/book_16214/
Изобретаниум. Новаторы. Игры;980;Каганов Л.;https://www.clever-media.ru/CleverProducts/Books/book_5329/
Маленькие исследователи. Мир животных;970; ;https://www.clever-media.ru/CleverProducts/Books/book_4400/
Маленькие исследователи. Транспорт;970; ;https://www.clever-media.ru/CleverProducts/Books/book_4401/
Маленькие исследователи. Космос;970; ;https://www.clever-media.ru/CleverProducts/Books/book_4399/
Логопедическое лото. Учим звуки Л, Ль;965;Галанов А.                                                                                          ;https://www.clever-media.ru/CleverProducts/Books/book_3135/
